FlowID,App,AppCategory,Category,Broad Category,Domain,Third_party,App_HOST,HOST1,HOST2,HOST3,HOST4,HOST5
53,Facebook,Social,Post,Behavior,facebook.com,,Facebook_facebook.com,graph,facebook,com,,
54,Facebook,Social,Post,Behavior,facebook.com,,Facebook_facebook.com,graph,facebook,com,,
55,Facebook,Social,Post,Behavior,facebook.com,,Facebook_facebook.com,graph,facebook,com,,
56,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
57,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
58,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
59,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
60,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
61,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
62,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
63,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
64,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
65,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
66,Facebook Messenger,Communication,Post,Behavior,facebook.com,,Facebook Messenger_facebook.com,graph,facebook,com,,
67,File Manager,Business,,,,,File Manager_,NA,,,,
68,Fitbit,Health & Fitness,Medical Info,Behavior,fitbit.com,,Fitbit_fitbit.com,android-api,fitbit,com,,
69,Fitbit,Health & Fitness,Medical Info,Behavior,fitbit.com,,Fitbit_fitbit.com,android-api,fitbit,com,,
70,Fitbit,Health & Fitness,Medical Info,Behavior,fitbit.com,,Fitbit_fitbit.com,android-api,fitbit,com,,
71,Fitbit,Health & Fitness,Medical Info,Behavior,fitbit.com,,Fitbit_fitbit.com,android-api,fitbit,com,,
72,GasBuddy,Travel & Local,Email,PII,gasbuddy.com,,GasBuddy_gasbuddy.com,xml,gasbuddy,com,,
73,GasBuddy,Travel & Local,Email,PII,gasbuddy.com,,GasBuddy_gasbuddy.com,xml,gasbuddy,com,,
74,Glide,Communication,Post,Behavior,glide.me,,Glide_glide.me,p,glide,me,,
75,Glide,Communication,Post,Behavior,pubnub.com,Yes,Glide_pubnub.com,pubsub-1,pubnub,com,,
76,GoodRx,Medical,,,,,GoodRx_,NA,,,,
77,Google Earth,Travel & Local,,,,,Google Earth_,NA,,,,
78,Groupon,Shopping,,,,,Groupon_,NA,,,,
79,Guess the Emoji,Games,,,,,Guess the Emoji_,NA,,,,
80,Instagram,Social,,,,,Instagram_,NA,,,,
81,iTriage Health,Health & Fitness,,,,,iTriage Health_,NA,,,,
82,Job Search,Business,,,,,Job Search_,NA,,,,
83,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
84,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
85,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
86,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
87,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
88,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
89,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
90,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
91,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
92,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
93,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
94,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
95,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
96,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
97,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
98,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
